Class Index,Title,Description
4,Intel slashes Itanium prices as Madison looms - Analysis,"Intel has slashed prices across the board as it prepares to get behind new processor lines due this autumn. The Itanium server line has seen cuts of over 30 per cent, while prices for Intel #39;s fastest business  This report summarizes recent developments and background context."
1,Feds: Syrian Clampdown on Terror Positive (AP) - Analysis,"AP - A Syrian crackdown on terror groups would be the best way to halt violence in Syria and promote peace in the Middle East, the State Department said Monday after the assassination in Damascus of a leader of Hamas' bombing unit. This report summarizes recent developments and background context."
2,Report: Glazer soccer bid near - Analysis,"Malcolm Glazer, tycoon owner of the Tampa Bay Buccaneers, reportedly plans to bid more than \$1.2-billion to take control of British icon Manchester United, the world #39;s richest soccer team. This report summarizes recent developments and background context."
4,"Alien Contact More Likely by  quot;Mail quot; Than Radio, Study Says - Analysis","Researchers behind the study speculate that other life-forms may have already sent us messages, perhaps even as organic material embedded in asteroids that have struck Earth. This report summarizes recent developments and background context."
1,Colombia reveals plot to assassinate Bush - Analysis,"Colombian rebels plotted to assassinate George Bush during his brief stopover in the port of Cartagena last week, according to the country #39;s defence minister. This report summarizes recent developments and background context."
1,UN offers plan to calm tension along Rwanda-Congo border - Analysis,KINSHASA - The United Nations says it may have found a way to prevent the further escalation of tensions between Congo and Rwanda. This report summarizes recent developments and background context.
3,Oracle in Merger Talks with Other Firms - Analysis," SAN FRANCISCO (Reuters) - Oracle Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORCL.O target=/stocks/quickinfo/fullquote""&gt;ORCL.O&lt;/A&gt; is in  merger talks with other technology companies as it awaits the  outcome of its \$9.2 billion hostile takeover bid for rival  software maker PeopleSoft Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=PSFT.O target=/stocks/quickinfo/fullquote""&gt;PSFT.O&lt;/A&gt;. This report summarizes recent developments and background context."
4,Bill Gates Gets 4 Million E-Mails a Day - Analysis,"Bill Gates might not use AOL, but he's definitely got mail. The Microsoft Corp. chairman receives millions of Internet messages a day, said Steve Ballmer, the company's chief executive. ""Bill literally receives 4 million pieces of e-mail per day, most of it spam,"" Ballmer said Thursday. This report summarizes recent developments and background context."
4,Thousands queue for Halo 2 - Analysis,Hordes of video game fans queued outside more than 6500 stores across the United States overnight on Tuesday to get a copy of the new Halo 2 game whose first day takings are expected to rival a Hollywood blockbuster. This report summarizes recent developments and background context.
4,JBoss 4.0 Released - Analysis,"JBoss, the self-proclaimed Professional Open Source company, released JBoss Application Server 4.0 today. The announcement follows closely behind the announcements of JBossCache 1.1 and the company #39;s new partnership with Sleepycat Software. This report summarizes recent developments and background context."
2,Stuttgart Closing on Qualification - Analysis,VfB Stuttgart went clear at the top of UEFA Group G with a convincing 3-0 win over Portuguese giants Benfica. Brazilian striker Cacau put Matthias Sammers side ahead and further  This report summarizes recent developments and background context.
2,Warne #39;s career - Analysis,1992: Makes Test debut against India in January. In two Tests against India his overall figures are 1-228. Australian wicketkeeper Rod Marsh invites him to return to the Adelaide Academy and his career is  This report summarizes recent developments and background context.
1,Saddam #39;s top aide al-Douri arrested - Analysis,"File photo taken on March 1, 2003 shows Izzat Ibrahim at the Arab Summit in Sharm-el-Sheikh, Egypt. Ibrahim, the second most powerful man of the former Iraqi regime, was captured on Sept. This report summarizes recent developments and background context."
3,Target Earns \$537 Million - Analysis,"Target Corp. , the No. 2 US discount retailer, on Thursday posted a higher quarterly profit on stronger sales and gains from selling its Mervyn #39;s department store chain, and forecast 2004 would end well. This report summarizes recent developments and background context."
3,Brown seeks to retain EU rebate - Analysis,Chancellor Gordon Brown has expressed his determination to retain the British rebate on its contributions to the European Union #39;s annual budget. This report summarizes recent developments and background context.
3,US Airways to Cut Hundreds of Jobs - Analysis,"US Airways Group Inc. plans to eliminate ""hundreds"" of management and nonunion jobs and cut top executives' pay by between 5 and 10 percent. This report summarizes recent developments and background context."
3,Earnings Improve at Japanese Electronics Firms - Analysis,"The Japanese electronics makers remained cautious about the months ahead, citing worries about global growth. Japanese corporate profits are almost certain to be hurt by any economic slowdown in Japan and in the United States. This report summarizes recent developments and background context."
1,"As French school year begins, Iraq crisis tests head scarf ban - Analysis","PARIS -- School doors open for 12 million French children today, but there is far more at stake this year than back-to-school jitters. This report summarizes recent developments and background context."
3,Australia Babcock  amp; Brown To Pursue Listed Investment Co - Analysis,SYDNEY (Dow Jones)--Babcock  amp; Brown Ltd. (BNB.AU) said Monday it plans to raise as much as A\$1 billion for an externally managed investment company to target long-term investments. This report summarizes recent developments and background context.
1,Republican Convention Dogged by Relentless Protests (Reuters) - Analysis,Reuters - Five thousand people protesting high\job losses formed a 3 mile unemployment line in Manhattan on\Wednesday and AIDS activists disrupted a Republican meeting on\the third day of the party's convention to nominate the\president to a second term in office. This report summarizes recent developments and background context.
4,AOL aims to boost IM on mobiles - Analysis,"AOL has kicked off an initiative designed to make it easier for developers to engineer, test and distribute licensed AOL Instant Messenger (AIM) clients for mobile devices. This report summarizes recent developments and background context."
1,Musharraf meets Pope John Paul - Analysis,"Pakistan President General Pervez Musharraf met Pope John Paul II, who urged him to adopt a  quot;spirit of dialogue and tolerance quot; in his region. This report summarizes recent developments and background context."
3,"Telecom equipment maker Agere to cut 500 employees, 7.6 of &lt;b&gt;...&lt;/b&gt; - Analysis","Telecommunications equipment maker Agere Systems Inc. said Wednesday it will lay off 500 employees, or 7.6 per cent of its workforce, as part of a corporate restructuring. This report summarizes recent developments and background context."
3,China at G-7 Meeting for First Time - Analysis,"China made its debut last night in the club of the world's leading economic powers, asinternational pressure mounts to change a decade-old currency peg that critics accuse of giving Chinese products an unfair competitive edge. This report summarizes recent developments and background context."
1,Japan Airlines Sees Profit on Int'l Travel (AP) - Analysis,AP - Japan Airlines Corp. said Friday that it returned to profitability in first half of the fiscal year as international travel picked up from a decline a year ago caused by the war in Iraq and the SARS outbreak in Asia. This report summarizes recent developments and background context.
1,Florida Supreme Court puts Nader on state ballot (AFP) - Analysis,"AFP - The Florida Supreme Court has ruled that third-party presidential hopeful Ralph Nader can appear on ballots in the decisive state, increasing the chance the maverick contender will again influence the outcome of the presidential election. This report summarizes recent developments and background context."
3,NTL to shed broadcasting arm - Analysis,"Britain #39;s biggest cable company, NTL, agreed yesterday to sell its radio and television broadcasting business for 1.27bn to a consortium led by a fund managed by Australia #39;s Macquarie Bank. This report summarizes recent developments and background context."
2,"Redskins lose, Kerry hopes for win - Analysis","TAMPA. Fla. First it was the Boston Red Sox World Series win that had John Kerry grinning, now another sports event has him feeling good. This report summarizes recent developments and background context."
1,Liberals enter political minefield of minority government starting Monday (Canadian Press) - Analysis,Canadian Press - OTTAWA (CP) - A chastened Liberal government will find itself relying on support from the very opponents it steamrollered for over a decade when Prime Minister Paul Martin begins steering his party through the first minority Parliament in a quarter-century. This report summarizes recent developments and background context.
2,Mauresmo breezes through - Analysis,Amelie Mauresmo comfortably came through her first match since taking over at the top of the world rankings. The Frenchwoman reached the quarter-finals of the Porsche Grand Prix in Filderstadt with a 7-5 6-4 win over Switzerland #39;s Patty Schynder. This report summarizes recent developments and background context.
2,Ramirez should be taking it to heart - Analysis,"When it comes down to this, when it's worse than you could have possibly imagined, if you are any kind of ballplayer at all, you look within and ask yourself what you can do to make it better. This report summarizes recent developments and background context."
1,"Afghan Refugees Vote in Pakistan, Iran - Analysis","Troops of Pakistani para-military force check Afghan refugee voters before they enter in polling station to vote in Afghanistan #39;s presidential election at Jallozai camp near Peshawar, Pakistan on Saturday, Oct. 9, 2004. This report summarizes recent developments and background context."
3,Delta Air May File Bankruptcy Soon-Report - Analysis,"Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) could file for Chapter 11 bankruptcy protection as soon as next week, the Washington Post reported in its Saturday edition, citing an unnamed source familiar with the situation. This report summarizes recent developments and background context."
2,Gordon favored in  #39;chase #39; - Analysis,"LOUDEN, NH -- Right now, things are going Jeff Gordon #39;s way. That should enhance his chances of winning a fifth NASCAR championship. This report summarizes recent developments and background context."
3,White House May Pick Bernanke - Analysis,"The White House, seeking a strong economic team to craft and sell key features of its second-term agenda, is considering tapping Federal Reserve Board member Ben S. Bernanke to serve as chairman  This report summarizes recent developments and background context."
4,Studios Attack BitTorrent - Analysis,The Motion Picture Association of America is retargeting its legal battle against file swappers by launching attacks against the server operators behind the BitTorrent and eDonkey services. This report summarizes recent developments and background context.
4,IBM embraces grid converts - Analysis,"On the eve of a grid-computing conference, Big Blue says five companies and the EPA have plans to build grids. This report summarizes recent developments and background context."
2,Hamstring Shelves Moss - Analysis,Vikings receiver Randy Moss will miss his first game as a pro on Monday night against the Colts with a recurring hamstring strain that requires rest. This report summarizes recent developments and background context.
2,Torch passed on winning goal - Analysis,"ATHENS -- America #39;s gold-medal soccer players don #39;t just say goodbye; they say hello.  quot;The thing I love, quot; retiring captain Julie Foudy said,  quot;is that Tarpley and Wambach scored. This report summarizes recent developments and background context."
4,"Microsoft, Sun, Intel push IT management via Web services (InfoWorld) - Analysis",InfoWorld - Microsoft and Sun Microsystems on Thursday are publishing a specification to leverage Web services for managing a broad range of IT systems including PCs and devices on a network. This report summarizes recent developments and background context.
4,Sci/Tech - Virus gang wars on the Web - Analysis,"Following his arrest in May, the teenage computer wizard admitted to police he wrote the code for Sasser and more than two dozen Netsky viruses that wreaked havoc across the Internet during the first few months of 2004. This report summarizes recent developments and background context."
3,Dollar Drops Further as Central Banks Reassess Reserves - Analysis,The falling dollar reached new depths against the euro today as the dollar's status as the premier international reserve currency is growing more precarious. This report summarizes recent developments and background context.
2,Athletics: Dominant Phillips takes long jump gold - Analysis,ATHENS - Dwight Phillips of the United States completed a hat-trick of global long jump titles when he crushed the field with his opening leap in Thursday #39;s final to win Olympic gold. This report summarizes recent developments and background context.
2,Tougher rules won't soften Law's game - Analysis,"FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ... This report summarizes recent developments and background context."
2,"With Ban Pending, Hamilton Loses Ride - Analysis","Tyler Hamilton, who won an Olympic gold medal for the United States in Athens, was fired last Thursday by Phonak, his Swiss cycling team, two months after testing positive for illegal blood transfusions. This report summarizes recent developments and background context."
3,UPDATE 1-J amp;J in talks to buy Guidant - sources - Analysis,"Health care and consumer products maker Johnson  amp; Johnson (JNJ.N: Quote, Profile, Research) is in negotiations to acquire medical-device maker Guidant Corp. This report summarizes recent developments and background context."
4,Dell Offers SUSE on Servers - Analysis,"Dell (Quote, Chart) officials announced Wednesday an agreement with Linux distributor Novell (Quote, Chart) to distribute and support SUSE Enterprise Server 9 on its single- and dual-processor line of servers. This report summarizes recent developments and background context."
2,Catch a piece of history but hire a lawyer first - Analysis,"When Steve Williams picked up the ball Barry Bonds had just hit for his 700th home run, he thought he had his hands on a piece of history. This report summarizes recent developments and background context."
2,Reggae Boyz Head to World Cup Qualifier (AP) - Analysis,"AP - Jamaica's soccer team left Monday for Columbus, Ohio, where it will play the United States in a crucial World Cup qualifying match. This report summarizes recent developments and background context."
1,Kerry Challenges Bush Record on Issues - Analysis,"DETROIT - Sen. John Kerry accused President Bush on Wednesday of presiding over an ""excuse presidency,"" challenging Bush's credibility on jobs, the record national deficit and the war in Iraq... This report summarizes recent developments and background context."
4,Signs of a Glut and Lower Prices on Thin TV's - Analysis,Dont buy that high-definition TV yet. Competition may force the prices down further. This report summarizes recent developments and background context.
3,US Airways' Unions Brace to Fight Deep Cuts - Analysis,"US Airways' 28,000 employees waited last night for the airline to file a petition with the judge in its bankruptcy proceeding, seeking to void existing labor contracts and impose a 23 percent pay cut on workers. This report summarizes recent developments and background context."
4,Wireless carriers: Privacy bill not needed - Analysis,"WASHINGTON - Representatives of wireless telephone carriers planning a telephone directory service told a U.S. Senate committee Tuesday that legislation to protect their customers' privacy isn't needed, because their plan already does. This report summarizes recent developments and background context."
2,"Ortiz, Sox rally to fight another day: Sink Yanks in 14, send &lt;b&gt;...&lt;/b&gt; - Analysis","The official crowd at Fenway Park last night was a capacity 35,120, but as the years pass, the number of people who claim to have attended the Red Sox stats, schedule #39; 5-4, 14-inning victory  This report summarizes recent developments and background context."
1,Britain Ups Anti-Terror Security Spending (AP) - Analysis,"AP - The Sept. 11 attacks on America forced Prime Minister Tony Blair's government to ponder a troubling question: Could terrorists pull off something similar, or even worse, in London or another big British city? The answer, they concluded, was yes. This report summarizes recent developments and background context."
1,U.S. Alerts Schools About Terror Threat - Analysis,"WASHINGTON - The Education Department has advised school leaders nationwide to watch for people spying on their buildings or buses to help detect any possibility of terrorism like the deadly school siege in Russia.    The warning follows an analysis by the FBI and the Homeland Security Department of the siege that killed nearly 340 people, many of them students, in the city of Beslan last month... This report summarizes recent developments and background context."
